taxon,matK,ndhF,rbcL
Abrophyllum,GQ983653.1,AJ238333.1,AF299090.1
Achillea_millefolium,EU385315,EU385124,EU384938
Acicarpha_spathulata,EU385316,EU385125,EU384939
Acourtia_turbinata,EU385317,EU385126,EU384940
Adenocaulon_bicolor,EU385320,EU385129,EU384943
Ainsliaea_macrocephala,EU385322,EU385131,EU384945
Alseuosmia,AJ429378.1,AJ238334.1,X87377.1
Aphyllocladus_spartioides,EU385323,EU385132,EU384946
Arctotis_hirsuta,JN837383,EU385133,EU384947
Argophyllum,AJ429379.1,AJ238335.1,X87379.1
Athroisma_gracile,AY215765,L39455,AY215085
Atractylis_cancellata,EU385325,EU385134,EU384948
Baccharis_neglecta,EU385326,EU385135,EU384949
Barnadesia_spinosa,EU385327,L39394,AY874427
Berkheya_purpurea,EU385328,EU385136,EU384950
Blepharispermum_zanguebaricum,AY215768,L39456,AY215088
Brachyclados_caespitosus,EU385329,EU385137,EU384951
Brachylaena_elliptica,EU385330,EU385138,EU384952
Calycera_crassifolia,KM192113,KM192102,KM192091
Campanula,EU713290.1,L39387.2,EU713397.1
Canarina,EU713246.1,DQ356087.1,DQ356115.1
Cardiopteris,AJ429310.1,AJ312963.1,AJ402936.1
Carpodetus,AJ429383.1,AJ238336.1,KF780482.1
Carthamus_tinctorius,EU385331,EU385139,EU384953
Centaurea_melitensis,EU385332,EU385140,EU384954
Centratherum_punctatum,EU385333,EU385141,EU384955
Ceratophyllum,AF543732.1,AF130232.1,HM849883.1
Chaetanthera_pentacaenoides,EU385334,EU385142,EU384956
Chaptalia_nutans,EU385335,EU385143,EU384957
Chimantaea_humilis,EU385336,EU385144,EU384958
Chrysanthemoides_monilifera,EU385337,EU385145,EU384959
Chuquiraga_spinosa,EU385338,EU385146,EU384960
Citronella,GQ983648.1,AJ312971.1,KF496665.1
Cnicothamnus_lorentzii,EU385339,EU385147,EU384961
Codonopsis,JN851165.1,AF130185.1,EU713356.1
Corokia,AY491646.1,AF130182.1,L11221.2
Corymbium_glabrum,EU385340,EU385148,EU384962
Crispiloba,GQ983650.1,AJ238338.1,X87382.1
Cuttsia,GQ983640.1,AJ277382.1,Y08462.1
Cyclolepis_genistoides,EU385341,EU385149,EU384963
Dampiera,JQ711598.1,L39386.1,X87383.1
Dasyphyllum_reticulatum,EU385342,EU385150,AY874428
Dicoma,EU385344,EU385152,EU384965
Dimorphotheca_sinuata,EU385345,EU385153,EU384966
Dinoseris_salicifolia,EU385346,EU385154,EU384967
Dolichlasium_lagascae,EU385347,EU385155,EU384968
Doniophyton_anomalum,EU385348,EU385156,EU384969
Duidaea_pinifolia,EU385349,EU385157,EU384970
Echinops_ritro,EU385350,EU385158,EU384971
Eremanthus_erythropappus,EU385351,EU385159,EU384972
Erigeron_tenuis,EU385352,EU385160,EU384973
Famatinanthus_decussatus,KM192114,KM192103,KM192092
Fauria,EF173060.1,AJ238340.1,EF173095.1
Felicia_heterophylla,EU385353,EU385161,EU384974
Forstera,GQ983645.1,AJ225083.1,AF451616.1
Gamocarpha_alpina,KM192115,KM192104,KM192093
Gamochaeta_pensylvanica,EU385354,EU385162,EU384977
Gerbera,EU385355,EU385163,EU384975
Gochnatia_hiriartiana,EU385358,EU385166,EU384979
Gomphandra,GQ983651.1,GQ983663.1,AJ402954.1
Gongylolepis_benthamiana,EU385359,EU385167,EU384980
Goodenia,JQ711695.1,AJ318990.1,X87387.1
Gorteria_diffusa,EU385360,EU385168,EU384981
